Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Emily.R,2022.02.14 13:13:09 EDT,1584,VPN,0,1,172.19.150.185,10.128.20.82,UDP,1194,116683776,
openvpn-server,Logan.L,2022.02.14 13:49:10 EDT,17721,VPN,0,1,172.30.205.213,10.128.20.130,UDP,1194,357981921,
openvpn-server,Christina.B,2022.02.14 14:16:04 EDT,,VPN,0,0,172.29.13.228,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,David.A,2022.02.14 14:47:09 EDT,734,VPN,0,1,172.25.200.48,10.128.20.173,UDP,1194,10811086,
openvpn-server,Kyle.W,2022.02.14 14:59:35 EDT,12699,VPN,0,1,172.25.9.19,10.128.20.51,UDP,1194,945859617,
openvpn-server,Emily.R,2022.02.14 15:29:16 EDT,7303,VPN,0,1,172.21.166.213,10.128.20.11,UDP,1194,411217324,
openvpn-server,Christina.B,2022.02.14 15:47:14 EDT,9204,VPN,0,1,172.31.64.163,10.128.20.49,UDP,1194,1290603288,
openvpn-server,Bruce.F,2022.02.14 16:07:10 EDT,2396,VPN,0,1,172.30.242.224,10.128.20.182,UDP,1194,532079720,
openvpn-server,Anna.Q,2022.02.14 16:27:20 EDT,4640,VPN,0,1,172.28.220.57,10.128.20.139,UDP,1194,179841760,
openvpn-server,Bryan.A,2022.02.14 16:49:48 EDT,7245,VPN,0,1,172.19.122.229,10.128.20.82,UDP,1194,1572585210,
openvpn-server,Carol.G,2022.02.14 17:09:07 EDT,,VPN,0,0,172.31.8.20,,UDP,1194,,user not found
openvpn-server,David.A,2022.02.14 17:35:09 EDT,3470,VPN,0,1,172.23.147.207,10.128.20.85,UDP,1194,624658990,
openvpn-server,Kathryn.T,2022.02.14 18:09:40 EDT,5725,VPN,0,1,172.31.208.90,10.128.20.153,UDP,1194,62843325,
openvpn-server,Bruce.F,2022.02.14 18:46:56 EDT,1945,VPN,0,1,172.16.169.134,10.128.20.104,UDP,1194,490575680,
openvpn-server,Carl.J,2022.02.15 07:03:53 EDT,2716,VPN,0,1,172.21.230.179,10.128.20.77,UDP,1194,514290896,
openvpn-server,Alexander.R,2022.02.15 07:40:01 EDT,41662,VPN,0,1,172.31.100.82,10.128.20.74,UDP,1194,4675101330,
openvpn-server,Susan.M,2022.02.15 08:04:05 EDT,,VPN,0,0,172.16.131.167,,UDP,1194,,user not found
openvpn-server,Martha.U,2022.02.15 08:16:48 EDT,,VPN,0,0,172.22.43.102,,UDP,1194,,user not found
openvpn-server,Mason.A,2022.02.15 08:45:20 EDT,,VPN,0,0,172.18.193.28,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Christina.B,2022.02.15 09:08:12 EDT,18248,VPN,0,1,172.23.215.8,10.128.20.201,UDP,1194,1809836640,
openvpn-server,Michael.L,2022.02.15 09:50:27 EDT,19897,VPN,0,1,172.24.62.254,10.128.20.191,UDP,1194,4944285118,
openvpn-server,Jeffrey.Y,2022.02.15 10:16:10 EDT,9800,VPN,0,1,172.26.128.56,10.128.20.68,UDP,1194,2539003600,
openvpn-server,Michael.L,2022.02.15 10:47:23 EDT,25156,VPN,0,1,172.25.135.9,10.128.20.17,UDP,1194,3566416432,
openvpn-server,Linda.O,2022.02.15 11:02:19 EDT,14325,VPN,0,1,172.30.238.253,10.128.20.78,UDP,1194,410583150,
openvpn-server,Logan.Z,2022.02.15 11:34:44 EDT,,VPN,0,0,172.17.50.104,,UDP,1194,,user not found
openvpn-server,Julie.R,2022.02.15 12:04:06 EDT,10073,VPN,0,1,172.21.20.200,10.128.20.129,UDP,1194,536508126,
openvpn-server,Sarah.C,2022.02.15 12:26:56 EDT,,VPN,0,0,172.19.99.74,,UDP,1194,,user not found
openvpn-server,Bruce.F,2022.02.15 12:38:58 EDT,5890,VPN,0,1,172.24.86.88,10.128.20.88,UDP,1194,1079383730,
openvpn-server,Jeffrey.Y,2022.02.15 13:17:13 EDT,13612,VPN,0,1,172.22.224.194,10.128.20.194,UDP,1194,2499857412,
openvpn-server,Kyle.W,2022.02.15 13:53:22 EDT,16577,VPN,0,1,172.31.133.27,10.128.20.13,UDP,1194,2604379316,
openvpn-server,Shirley.N,2022.02.15 14:31:01 EDT,16655,VPN,0,1,172.23.238.215,10.128.20.2,UDP,1194,753938540,
openvpn-server,Carl.J,2022.02.15 15:09:26 EDT,10997,VPN,0,1,172.30.24.169,10.128.20.96,UDP,1194,619878896,
openvpn-server,Mason.A,2022.02.15 15:33:20 EDT,9403,VPN,0,1,172.27.117.99,10.128.20.221,UDP,1194,890558130,
openvpn-server,Sharon.P,2022.02.15 15:51:22 EDT,13742,VPN,0,1,172.17.102.144,10.128.20.209,UDP,1194,1101490010,
openvpn-server,Isabella.L,2022.02.15 16:09:15 EDT,1881,VPN,0,1,172.30.69.180,10.128.20.147,UDP,1194,36015507,
openvpn-server,Julie.R,2022.02.15 16:27:21 EDT,4416,VPN,0,1,172.24.163.212,10.128.20.233,UDP,1194,734659008,
openvpn-server,Benjamin.X,2022.02.15 16:53:37 EDT,8788,VPN,0,1,172.29.138.212,10.128.20.63,UDP,1194,263429088,
openvpn-server,Kathryn.T,2022.02.15 17:08:43 EDT,6770,VPN,0,1,172.27.13.55,10.128.20.219,UDP,1194,1758866310,
openvpn-server,Brittany.I,2022.02.15 17:31:39 EDT,7550,VPN,0,1,172.18.102.111,10.128.20.28,UDP,1194,253959350,
openvpn-server,Jeffrey.Y,2022.02.15 17:41:56 EDT,,VPN,0,0,172.23.66.185,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emily.R,2022.02.15 17:53:26 EDT,2862,VPN,0,1,172.25.145.72,10.128.20.122,UDP,1194,118755828,
openvpn-server,Mason.A,2022.02.15 18:30:52 EDT,2842,VPN,0,1,172.26.95.204,10.128.20.157,UDP,1194,221067812,
openvpn-server,Anna.Q,2022.02.16 07:16:42 EDT,25370,VPN,0,1,172.30.23.22,10.128.20.130,UDP,1194,3643969210,
openvpn-server,Logan.L,2022.02.16 07:30:48 EDT,24340,VPN,0,1,172.23.135.148,10.128.20.43,UDP,1194,4312634220,
openvpn-server,Brittany.I,2022.02.16 07:47:11 EDT,33341,VPN,0,1,172.17.128.111,10.128.20.80,UDP,1194,3130719900,
openvpn-server,Kathryn.T,2022.02.16 08:19:39 EDT,12539,VPN,0,1,172.30.194.11,10.128.20.129,UDP,1194,413473525,
openvpn-server,Mason.A,2022.02.16 08:49:32 EDT,29746,VPN,0,1,172.22.7.69,10.128.20.225,UDP,1194,1959488004,
openvpn-server,Benjamin.X,2022.02.16 09:04:52 EDT,5459,VPN,0,1,172.18.75.239,10.128.20.191,UDP,1194,248520975,
openvpn-server,Dorothy.H,2022.02.16 09:21:49 EDT,5740,VPN,0,1,172.16.151.15,10.128.20.16,UDP,1194,487027520,
openvpn-server,Julie.R,2022.02.16 09:41:24 EDT,14658,VPN,0,1,172.26.158.34,10.128.20.53,UDP,1194,3090126270,
openvpn-server,Mark.H,2022.02.16 09:51:40 EDT,,VPN,0,0,172.29.158.130,,UDP,1194,,user not found
openvpn-server,Bryan.A,2022.02.16 10:23:16 EDT,16202,VPN,0,1,172.27.93.179,10.128.20.194,UDP,1194,2288078844,
openvpn-server,Linda.O,2022.02.16 10:38:54 EDT,,VPN,0,0,172.27.203.216,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Eugene.E,2022.02.16 10:48:55 EDT,9406,VPN,0,1,172.21.133.38,10.128.20.42,UDP,1194,1722558404,
openvpn-server,Rachel.J,2022.02.16 11:26:53 EDT,,VPN,0,0,172.17.95.177,,UDP,1194,,user not found
openvpn-server,Dorothy.H,2022.02.16 11:59:46 EDT,,VPN,0,0,172.20.63.186,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Benjamin.X,2022.02.16 12:38:16 EDT,11108,VPN,0,1,172.31.126.27,10.128.20.68,UDP,1194,2890257168,
openvpn-server,Kyle.W,2022.02.16 13:17:01 EDT,8831,VPN,0,1,172.21.29.197,10.128.20.160,UDP,1194,594026046,
openvpn-server,Jeffrey.Y,2022.02.16 13:45:30 EDT,1883,VPN,0,1,172.25.234.81,10.128.20.64,UDP,1194,73519852,
openvpn-server,Alexander.R,2022.02.16 13:58:00 EDT,4061,VPN,0,1,172.27.231.67,10.128.20.157,UDP,1194,737964920,
openvpn-server,Bruce.F,2022.02.16 14:24:34 EDT,11294,VPN,0,1,172.21.139.142,10.128.20.96,UDP,1194,3081985778,
openvpn-server,Kathryn.T,2022.02.16 15:01:28 EDT,10389,VPN,0,1,172.16.197.89,10.128.20.43,UDP,1194,888602337,
openvpn-server,David.A,2022.02.16 15:31:24 EDT,12017,VPN,0,1,172.16.248.160,10.128.20.232,UDP,1194,2050148268,
openvpn-server,Keith.N,2022.02.16 15:46:53 EDT,,VPN,0,0,172.24.26.127,,UDP,1194,,user not found
openvpn-server,Alexander.R,2022.02.16 16:07:46 EDT,2740,VPN,0,1,172.16.81.70,10.128.20.226,UDP,1194,565856580,
openvpn-server,Carl.J,2022.02.16 16:22:25 EDT,,VPN,0,0,172.27.37.176,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.L,2022.02.16 16:39:58 EDT,4074,VPN,0,1,172.31.77.144,10.128.20.176,UDP,1194,1042275864,
openvpn-server,Dorothy.H,2022.02.16 17:00:34 EDT,6152,VPN,0,1,172.30.10.75,10.128.20.239,UDP,1194,1192282208,
openvpn-server,Christina.B,2022.02.16 17:15:38 EDT,1609,VPN,0,1,172.27.155.247,10.128.20.240,UDP,1194,326303591,
openvpn-server,Shirley.N,2022.02.16 17:52:51 EDT,6849,VPN,0,1,172.16.194.116,10.128.20.243,UDP,1194,1697154804,
openvpn-server,Mason.A,2022.02.16 18:27:28 EDT,,VPN,0,0,172.17.150.53,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Shirley.N,2022.02.17 07:14:18 EDT,25344,VPN,0,1,172.21.99.239,10.128.20.204,UDP,1194,2335829760,
openvpn-server,Jeffrey.Y,2022.02.17 07:26:20 EDT,3830,VPN,0,1,172.28.125.199,10.128.20.119,UDP,1194,63409480,
openvpn-server,Brittany.I,2022.02.17 07:51:44 EDT,41638,VPN,0,1,172.17.11.209,10.128.20.96,UDP,1194,5938827940,
openvpn-server,Angela.J,2022.02.17 08:20:59 EDT,8992,VPN,0,1,172.22.170.125,10.128.20.47,UDP,1194,948179424,
openvpn-server,Christina.B,2022.02.17 08:55:04 EDT,34608,VPN,0,1,172.28.207.165,10.128.20.16,UDP,1194,3981200496,
openvpn-server,Kyle.W,2022.02.17 09:19:43 EDT,13328,VPN,0,1,172.31.134.212,10.128.20.156,UDP,1194,2073250368,
openvpn-server,Mason.A,2022.02.17 09:46:36 EDT,32472,VPN,0,1,172.23.81.120,10.128.20.37,UDP,1194,5410549584,
openvpn-server,Benjamin.X,2022.02.17 10:16:42 EDT,18174,VPN,0,1,172.18.220.116,10.128.20.4,UDP,1194,3953935440,
openvpn-server,Bruce.F,2022.02.17 10:30:41 EDT,4718,VPN,0,1,172.31.47.195,10.128.20.155,UDP,1194,126461272,
openvpn-server,Dorothy.H,2022.02.17 10:52:03 EDT,8433,VPN,0,1,172.28.107.19,10.128.20.191,UDP,1194,727523343,
openvpn-server,Julie.R,2022.02.17 11:25:38 EDT,23746,VPN,0,1,172.24.223.232,10.128.20.145,UDP,1194,4701090604,
openvpn-server,Isabella.L,2022.02.17 11:47:54 EDT,9275,VPN,0,1,172.22.166.205,10.128.20.66,UDP,1194,1676484075,
openvpn-server,Anna.Q,2022.02.17 12:23:19 EDT,12854,VPN,0,1,172.28.172.177,10.128.20.199,UDP,1194,3075422332,
openvpn-server,Angela.J,2022.02.17 12:59:20 EDT,4003,VPN,0,1,172.18.39.227,10.128.20.128,UDP,1194,490695746,
openvpn-server,Emily.R,2022.02.17 13:26:59 EDT,,VPN,0,0,172.17.27.180,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Sharon.P,2022.02.17 13:51:34 EDT,13344,VPN,0,1,172.24.14.111,10.128.20.233,UDP,1194,1465691616,
openvpn-server,Bruce.F,2022.02.17 14:20:47 EDT,3128,VPN,0,1,172.16.170.129,10.128.20.166,UDP,1194,804552880,
openvpn-server,Samuel.F,2022.02.17 14:54:08 EDT,,VPN,0,0,172.23.168.163,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emily.R,2022.02.17 15:11:04 EDT,5491,VPN,0,1,172.29.109.229,10.128.20.22,UDP,1194,1051312351,
openvpn-server,Logan.L,2022.02.17 15:50:28 EDT,6851,VPN,0,1,172.26.247.118,10.128.20.10,UDP,1194,1137560593,
openvpn-server,Carl.J,2022.02.17 16:28:35 EDT,6789,VPN,0,1,172.21.130.150,10.128.20.133,UDP,1194,339796239,
openvpn-server,Victoria.T,2022.02.17 17:05:14 EDT,6808,VPN,0,1,172.26.199.160,10.128.20.117,UDP,1194,894850328,
openvpn-server,Bruce.F,2022.02.17 17:41:52 EDT,6672,VPN,0,1,172.21.241.115,10.128.20.157,UDP,1194,742273344,
openvpn-server,Shirley.N,2022.02.17 18:11:49 EDT,6393,VPN,0,1,172.22.200.198,10.128.20.106,UDP,1194,752225952,
openvpn-server,Jose.D,2022.02.17 18:32:16 EDT,,VPN,0,0,172.26.61.85,,UDP,1194,,user not found
openvpn-server,Carl.J,2022.02.17 18:59:00 EDT,,VPN,0,0,172.20.189.55,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emily.R,2022.02.18 07:04:03 EDT,,VPN,0,0,172.25.164.240,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Eugene.E,2022.02.18 07:21:12 EDT,20688,VPN,0,1,172.19.5.43,10.128.20.200,UDP,1194,2475277824,
openvpn-server,Emily.R,2022.02.18 07:40:51 EDT,35027,VPN,0,1,172.23.54.56,10.128.20.73,UDP,1194,8595695854,
openvpn-server,Brittany.I,2022.02.18 07:59:56 EDT,21021,VPN,0,1,172.19.255.200,10.128.20.161,UDP,1194,4572740172,
openvpn-server,David.A,2022.02.18 08:34:18 EDT,17180,VPN,0,1,172.25.205.133,10.128.20.149,UDP,1194,4048398280,
openvpn-server,Alexander.R,2022.02.18 09:07:37 EDT,11859,VPN,0,1,172.24.55.252,10.128.20.89,UDP,1194,2666472432,
openvpn-server,Angela.J,2022.02.18 09:43:50 EDT,8506,VPN,0,1,172.23.145.149,10.128.20.93,UDP,1194,364898894,
openvpn-server,Isabella.L,2022.02.18 09:54:13 EDT,5971,VPN,0,1,172.24.32.110,10.128.20.146,UDP,1194,316271928,
openvpn-server,Logan.L,2022.02.18 10:15:31 EDT,8767,VPN,0,1,172.16.58.148,10.128.20.156,UDP,1194,2091762365,
openvpn-server,Julie.R,2022.02.18 10:49:15 EDT,13845,VPN,0,1,172.24.97.212,10.128.20.130,UDP,1194,2852789940,
openvpn-server,Linda.O,2022.02.18 11:06:25 EDT,1572,VPN,0,1,172.17.127.58,10.128.20.8,UDP,1194,378157176,
openvpn-server,Dorothy.H,2022.02.18 11:40:42 EDT,2857,VPN,0,1,172.30.237.64,10.128.20.125,UDP,1194,763810379,
openvpn-server,Jerry.Q,2022.02.18 11:51:36 EDT,,VPN,0,0,172.22.68.34,,UDP,1194,,user not found
openvpn-server,Kyle.W,2022.02.18 12:08:47 EDT,3535,VPN,0,1,172.27.240.158,10.128.20.108,UDP,1194,814336740,
openvpn-server,Victoria.T,2022.02.18 12:24:31 EDT,16557,VPN,0,1,172.30.235.42,10.128.20.164,UDP,1194,1135859871,
openvpn-server,Bryan.A,2022.02.18 12:48:47 EDT,18336,VPN,0,1,172.30.93.33,10.128.20.114,UDP,1194,3813943008,
openvpn-server,Eugene.E,2022.02.18 13:13:18 EDT,5963,VPN,0,1,172.17.216.205,10.128.20.204,UDP,1194,849453202,
openvpn-server,Benjamin.X,2022.02.18 13:40:20 EDT,16189,VPN,0,1,172.29.45.131,10.128.20.155,UDP,1194,325722680,
openvpn-server,Shirley.N,2022.02.18 14:07:39 EDT,,VPN,0,0,172.25.120.43,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Anna.Q,2022.02.18 14:40:16 EDT,14425,VPN,0,1,172.23.117.167,10.128.20.64,UDP,1194,1866118975,
openvpn-server,Kyle.W,2022.02.18 14:52:54 EDT,1420,VPN,0,1,172.26.160.52,10.128.20.235,UDP,1194,124144920,
openvpn-server,Linda.O,2022.02.18 15:08:19 EDT,2095,VPN,0,1,172.17.78.47,10.128.20.148,UDP,1194,438030980,
openvpn-server,David.A,2022.02.18 15:30:45 EDT,,VPN,0,0,172.27.214.40,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kyle.W,2022.02.18 15:50:18 EDT,7398,VPN,0,1,172.22.129.25,10.128.20.72,UDP,1194,1729400868,
openvpn-server,Julie.R,2022.02.18 16:25:02 EDT,3603,VPN,0,1,172.17.113.124,10.128.20.200,UDP,1194,773283066,
openvpn-server,Dorothy.H,2022.02.18 16:47:43 EDT,8379,VPN,0,1,172.29.172.65,10.128.20.16,UDP,1194,1610334873,
openvpn-server,David.A,2022.02.18 17:06:16 EDT,5237,VPN,0,1,172.18.237.187,10.128.20.182,UDP,1194,279126863,
openvpn-server,Carl.J,2022.02.18 17:30:43 EDT,,VPN,0,0,172.31.168.164,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Bruce.F,2022.02.18 17:58:03 EDT,3739,VPN,0,1,172.29.81.245,10.128.20.188,UDP,1194,729516290,
openvpn-server,David.A,2022.02.18 18:36:55 EDT,,VPN,0,0,172.29.124.204,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Bruce.F,2022.02.19 07:08:08 EDT,7626,VPN,0,1,172.28.154.168,10.128.20.181,UDP,1194,1801939914,
openvpn-server,Alexander.R,2022.02.19 07:46:43 EDT,16016,VPN,0,1,172.21.104.241,10.128.20.119,UDP,1194,4071267200,
openvpn-server,Eugene.E,2022.02.19 07:57:17 EDT,,VPN,0,0,172.22.73.69,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Samuel.F,2022.02.19 08:23:17 EDT,37862,VPN,0,1,172.21.221.94,10.128.20.128,UDP,1194,407243672,
openvpn-server,Kathryn.T,2022.02.19 08:49:41 EDT,32814,VPN,0,1,172.17.1.160,10.128.20.11,UDP,1194,7390697220,
openvpn-server,Sharon.P,2022.02.19 09:13:29 EDT,29822,VPN,0,1,172.19.158.165,10.128.20.68,UDP,1194,3996983016,
openvpn-server,Mason.A,2022.02.19 09:52:44 EDT,22522,VPN,0,1,172.25.124.140,10.128.20.102,UDP,1194,5431292910,
openvpn-server,Julie.R,2022.02.19 10:14:51 EDT,10305,VPN,0,1,172.25.148.180,10.128.20.161,UDP,1194,1358837910,
openvpn-server,Victoria.T,2022.02.19 10:44:09 EDT,25717,VPN,0,1,172.29.223.146,10.128.20.240,UDP,1194,1482199295,
openvpn-server,Margaret.V,2022.02.19 11:02:32 EDT,,VPN,0,0,172.18.69.209,,UDP,1194,,user not found
openvpn-server,Eugene.E,2022.02.19 11:15:37 EDT,10900,VPN,0,1,172.25.196.234,10.128.20.163,UDP,1194,2950640900,
openvpn-server,Bruce.F,2022.02.19 11:33:11 EDT,16107,VPN,0,1,172.27.129.44,10.128.20.74,UDP,1194,1412503365,
openvpn-server,Linda.O,2022.02.19 11:45:37 EDT,,VPN,0,0,172.25.39.73,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Anna.Q,2022.02.19 12:03:39 EDT,5924,VPN,0,1,172.29.167.193,10.128.20.152,UDP,1194,1376625044,
openvpn-server,Kyle.W,2022.02.19 12:19:42 EDT,21871,VPN,0,1,172.21.250.211,10.128.20.111,UDP,1194,3238285873,
openvpn-server,Benjamin.X,2022.02.19 12:50:50 EDT,5965,VPN,0,1,172.25.27.82,10.128.20.83,UDP,1194,1650998665,
openvpn-server,Dorothy.H,2022.02.19 13:08:12 EDT,1734,VPN,0,1,172.21.75.252,10.128.20.123,UDP,1194,274043094,
openvpn-server,Christina.B,2022.02.19 13:36:42 EDT,1392,VPN,0,1,172.16.109.52,10.128.20.213,UDP,1194,160450272,
openvpn-server,Linda.O,2022.02.19 13:54:03 EDT,8025,VPN,0,1,172.21.170.87,10.128.20.151,UDP,1194,1553343075,
openvpn-server,Shirley.N,2022.02.19 14:21:25 EDT,14507,VPN,0,1,172.18.49.13,10.128.20.63,UDP,1194,3814818748,
openvpn-server,Carl.J,2022.02.19 14:51:12 EDT,8324,VPN,0,1,172.23.96.196,10.128.20.46,UDP,1194,2095825044,
openvpn-server,Jeffrey.Y,2022.02.19 15:06:54 EDT,7042,VPN,0,1,172.29.73.133,10.128.20.249,UDP,1194,935008592,
openvpn-server,Benjamin.X,2022.02.19 15:46:13 EDT,1268,VPN,0,1,172.29.51.90,10.128.20.2,UDP,1194,184189680,
openvpn-server,Isabella.L,2022.02.19 16:03:14 EDT,4982,VPN,0,1,172.18.84.176,10.128.20.92,UDP,1194,153445600,
openvpn-server,Linda.O,2022.02.19 16:14:02 EDT,7602,VPN,0,1,172.19.98.93,10.128.20.123,UDP,1194,492085062,
openvpn-server,Dorothy.H,2022.02.19 16:44:46 EDT,,VPN,0,0,172.24.127.40,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Mason.A,2022.02.19 17:02:33 EDT,5464,VPN,0,1,172.23.170.194,10.128.20.177,UDP,1194,90216104,
openvpn-server,John.N,2022.02.19 17:16:14 EDT,,VPN,0,0,172.19.254.178,,UDP,1194,,user not found
openvpn-server,Jeffrey.Y,2022.02.19 17:56:07 EDT,3493,VPN,0,1,172.31.69.112,10.128.20.86,UDP,1194,95282054,
openvpn-server,Victoria.T,2022.02.19 18:32:34 EDT,1111,VPN,0,1,172.29.210.84,10.128.20.251,UDP,1194,71786154,
